2;;AK;Mario Kiessling;Discus 2a;8,466
3;;Y4;Michael Buchthal;Discus 2a;8,417
4;;EF;Christophe Cousseau;Discus 2a;8,210
5;;FL;Felipe Levin;Discus 2b;7,952
6;;21;Bert Schmelzer;Discus 2a;7,885
7;;PC;Peter Hartmann;Discus 2a;7,877
8;;LOT;Piotr Jarysz;LS 8;7,370
9;;CFM;Marc Seretti;Discus 2a;7,170
10;1;232;Jay Rebbeck;LS 8;7,064
11;1;CD;Michael Rass;Discus 2a;7,049
12;2;JB;Roman Mracek;LS 8;6,940
13;1;6;Howard Jones;Discus 2a;6,910
14;1;SI;Viliam Kubovcik;LS 8;6,890
15;2;SM;Martin Schonwandt;LS 8;6,851
16;;FX;Tomas Suchanek;LS 8;6,822
17;2;JS;Juha Sorri;Discus 2b;6,776
18;;SEI;Bas Seijffert;ASW 28;6,749
19;2;CHI;Sebastian Ramsak;Discus 2b;6,679
20;;Y1;Steven Raimond;Discus 2a;6,651
21;;HAL;Peter Kassai;Discus 2a;6,414
22;;ET;Edoardo Tarchini;Discus 2a;6,413
23;;TA;Jan-Ola Nordh;Discus 2b;6,378
24;1;HB;Darius Liaugaudas;LS 8;6,355
25;1;ST;Stefan Leutenegger;Discus 2b;6,348
26;;KC;Rene Schneebeli;Discus 2b;6,204
27;;PV;Tobias Geiger;ASW 28;6,198
28;1;CH;Dane Dickinson;Discus 2a;5,996
29;1;JE;Aku Jaakkola;LS 8;5,846
30;;EC;Christian Skov;LS 8;5,841
31;;BS;Peter Temple;LS 8;5,771
32;;T1;Sven Olivier;LS 8;5,565
33;;EJ;Erazem Polutnik;LS 8;5,523
34;3;5;Corrado Costa;Discus 2a;5,170
35;1;KS;Sue Kussbach;LS 8;5,162
36;1;D1;Branislav Jesensky;Discus 2b;5,153
37;3;CW;Peter Deane;LS 8;5,094
38;;YB;Mircea Craciun;Discus 2a;4,640
39;;ZM;Darius Gudžiunas;LAK 19;4,575
40;;8K;Ronny Lindell;Discus 2b;4,316
41;;JBI;Jan Brandt Jorgensen;LS 8;4,209
42;;CM;Dennis Huybreckx;LS 8;4,119
43;;AE;Michael Smith;Discus 2b;3,852
44;;YA;Nicole Marius Cosmin;Discus 2a;3,340
45;;NX;Andras Gyongyosi;Discus 2b;1,805
46;;DL;Alexander Martynov;LAK 19;338
