2;1;BP;Poch Franz;Discus 2b;1,386
3;1;AK;Mario Kiessling;Discus 2a;1,382
4;2;EI;Baptiste Innocent;Discus 2b;1,273
5;;SI;Viliam Kubovcík;LS 8;1,269
6;2;LOT;Leszek Duda;LS 8;1,262
7;1;HB;Darius Liaugaudas;LS 8;1,191
8;1;GDI;Michael Rass;Discus 2a;1,185
9;;DI;Branislav Jesenský;Discus 2b;1,133
10;1;8K;Ronny Lindell;Discus 2b;1,128
11;3;TA;Jan Nordh;Discus 2b;1,116
12;5;ET;Christophe Cousseau;Discus 2a;1,095
13;2;GP;Gerd Peter Lauer;LS 8;1,087
14;2;LL;Matthew John Cook;Discus 2a;1,046
15;2;JB;Jan Louda;LS 8;1,015
16;3;HAL;Robert Toth;Discus 2a;1,010
17;3;FL;Vladas Motuza;Discus 2a;1,008
18;2;IEB;Alfred Paul Alfers;LS 8;993
19;9;GX;Lubomir Motl;Discus 2a;986
20;1;D9;Sjaak Selen;LS 8;964
21;3;6;Howard Jones;Discus 2a;949
22;1;CM;Dennis Huybreckx;LS 8;892
23;1;CH;Marko Lepetic;Discus 2b;888
24;;SE;Rasmus Nielsen;LS 8;885
26;2;LK;Tero Koivunen;LS 8;800
27;;CX;Ilkka Tourula;LS 8;725
28;3;CC;Thomas Hynek;Discus 2b;683
29;;21;Bert Schmelzer;Discus 2a;651
30;;LA;Alfio Lavazza;LS 8;379
31;;19;Alessandro Bruttini;LAK 19;275
