2;;JB;Roman MRACEK;LS 8;11,410
3;;GX;Tomas SUCHANEK;Discus 2a;11,054
4;;V;Tomasz RUBAJ;Discus 2a;10,973
5;;T1;Leszek DUDA;LS 8;10,886
6;1;21;Bert SCHMELZER;Discus 2a;10,546
7;3;GP;Gerd-Peter LAUER;LS 8;10,417
8;2;52;Tijl SCHMELZER;Discus 2b;10,412
9;1;TA;Jan-Ola NORDH;Discus 2b;10,392
10;2;HB;Darius LIAUGAUDAS;LS 8;10,331
11;2;ST;Stefan LEUTENEGGE;Discus 2b;10,307
12;2;D9;Sjaak SELEN;LS 8;10,214
13;;CFM1;Marc Seretti;Discus 2a;10,199
14;1;SF;Gunnar AXELSSON;LS 8;10,173
15;1;6;Howard JONES;Discus 2a;10,097
16;5;104;George METCALFE;ASW 28;10,043
17;;JP;Jan Brandt JORGENSEN;LS 8;9,667
18;;ET;Laurent LEJEUNE;Discus 2a;9,602
19;;ZM;Mindaugas ZALIUKAS;LAK 19;9,277
20;;2M;David MULLER;Discus 2b;8,925
21;;K;Josef KAMMERHOFER;Discus 2a;8,709
22;;CC;Thomas HYNEK;Discus 2b;8,333
24;;JW;Ismo SALOKANNEL;LAK 19;7,825
