2;1;AK;Mario KIEßLING;Discus 2a;9,200
3;1;PC;Peter HARTMANN;Discus 2a;9,183
4;;Y;Giorgio GALETTO;Discus 2a;9,046
5;;ET;Laurent LEJEUNE;Discus 2a;9,023
6;1;I5;Corrado COSTA;Discus 2a;8,957
7;1;MP;Sebastian KAWA;LS 8;8,859
8;;KL;Marc SERETTI;LS 8;8,737
9;;KG;Patrick GAI;LS 8;8,593
10;1;LS;Leigh WELLS;LS 8;8,550
11;1;352;Richard HOOD;LS 8;8,524
12;2;GX;Jaroslav TOMANA;Discus 2a;8,466
13;;C64;Bruce TAYLOR;LS 8;8,390
14;1;HAL;Laszlo HALASZ;Discus 2a;8,236
15;1;7K;Mark KEENE;Discus 2b;8,209
16;1;JS;Juha SORRI;Discus 2b;8,161
17;1;232;Jay REBBECK;LS 8;8,091
18;2;TK;Michael RASS;LS 8;7,879
19;3;N3;Antti KOSKINIEMI;Discus 2b;7,873
20;1;SI;Viliam KUBOVCIK;LS 8;7,821
21;3;JB;Pavel LOUZECKY;LS 8;7,813
22;;JH;José JAIME;LS 8;7,738
23;2;A8;Dane DICKINSON;LS 8;7,731
24;4;BX;Peter SZABO;Discus 2a;7,706
25;1;ST;Stefan LEUTENEGGER;Discus 2b;7,446
26;3;ZJN;Terry CUBLEY;Discus 2b;7,282
27;4;2A;Ben FLEWETT;Discus 2a;7,181
28;2;SR;Robbie SETON;LS 8;7,090
29;4;BS;Vladimir FOLTIN;LS 8;6,937
30;3;21;Bert SCHMELZER;Discus 2a;6,914
31;2;HB;Darius LIAUGAUDAS;LS 8;6,641
32;;KC;Marc GERBER;Discus 2b;6,549
33;1;SE;Henrik A. BREIDAHL;LS 8;6,446
34;1;LOT;Krzysztof HERCZYNSKI;LS 8 ;6,307
35;1;FUN;Alexandre NIELLLES SANCHEZ;Discus 2b;6,057
36;5;SEI;Bas SEIJFFERT;ASW 28;6,036
37;;YB;Mircea CRACIUN;Discus 2a;5,944
38;1;RC;Jan Schmeltz PEDERSEN;ASW 28;5,680
39;1;AJ;Alvaro DE ORLEANS-BORBON;ASW 28;5,186
40;;CC;Geir RAUDSANDMOEN;LS 8;5,129
41;1;T2;Gustavo SAURIN;LS 8 ;4,476
42;1;EX;Sven OLIVIER;LS 8;4,468
43;;CG;James (Chip) GARNER;Discus 2a;3,782
44;;DE;Anders KULBLIK;Discus 2b;341
45;;S1;Sarah KELMAN;ASW 28;338
