2;;AK;Mario Kiessling;Discus 2a;6,038
3;;FL;Felipe Levin;Discus 2a;5,955
4;;ET;Christophe Cousseau;Discus 2a;5,825
5;;71;Damian Goldenzweig;LS 8;5,759
6;;DI;Gonzalo Riera;LS 8;5,721
7;;ALB;Patrick Puskeiler;Discus 2a;5,693
8;1;W8;Jaroslav Tomana;LS 8;5,553
9;1;VV;Vittorio Squarciafico;Discus 2a;5,505
10;;IEB;Alfred Paul Alfers;LS 8;5,385
11;3;HB;Darius Liaugaudas;LS 8;5,335
12;;V;Tomasz Rubaj;Discus 2a;5,329
13;;SEI;Bas Seijffert;ASW 28;5,312
14;3;GG;Vittorio Pinni;LS 8;5,271
15;1;AJ;Aku Jaakkola;LS 8;5,260
16;1;6;Howard Jones;Discus 2a;5,179
17;1;EL;Vladas Motuza;Discus 2a;5,143
18;;352;Jez Hood;LS 8;5,093
19;;CFM1;Baptiste Innocent;Discus 2a;5,070
20;2;UB;Jan Louda;LS 8;5,037
21;1;PG;Phil Gaisford;Discus 2a;5,016
22;1;YG;Peter Deane;LS 8;4,995
23;;LOT;Michal Lewczuk;LS 8;4,536
