2;;S2;Robert Schroeder;LS 8;9,937
3;;JB;Miloslav Cink;LS 8;9,849
4;;GX;Tomas Suchanek;Discus 2a;9,676
5;;I;Lukasz Błaszczyk;Discus 2a;9,634
6;;XN;Sebastian Naegel;Discus 2a;9,586
7;1;ET;Benjamin Néglais;Discus 2a;9,397
8;1;DI;Maros Divok;Discus 2b;9,103
9;2;IAX;Filip Bojanowski;Discus 2a;9,081
10;;JPA;Lucas Delobel;Discus 2a;9,047
11;;HUN;Tamas Vamosi;Discus 2a;8,770
12;;YA;Alex Pop;Discus 2a;8,725
13;;DT;Dmitriy Timoshenko;Discus 2a;8,553
14;1;2;Anton Minskiy;Discus 2a;8,460
15;1;L4;Paul Fritche;LS 8;8,363
16;1;Y;Jacek Flis;Discus 2a;8,348
17;1;6;Howard Jones;Discus 2a;8,265
18;1;LR;Luca Urbani;Discus 2a;8,246
19;1;JS;Juha Sorri;Discus 2b;8,229
20;;AJ;Aku Jaakkola;Discus 2a;7,805
21;1;HAL;Daniel Arday;Discus 2a;7,378
22;1;SI;Dominik Jancik;LS 8;7,082
23;;GG;Guido Dalla Rosa Prati;LS 8;7,002
24;;D2;Poul Kim Larsen;Discus 2a;6,995
25;;YU;Jef Kell;Discus 2b;6,555
26;;H8;Andrius Tamulenas;LS 8;6,477
27;;ST;Pascal Brunner;Discus 2b;3,974
28;;YB;Norbert Scarlat;Discus 2a;3,265
29;;HR3;Dani Zaninovic;ASW 24;101
