1;;2SI;Sjaak Selen;Discus 2a;6.309
2;3;KS;Makoto Ichikawa;LS-8;6.288
3;1;Y;Mateusz Siodłoczek;Discus 2a;6.235
4;1;DT;Dmitriy Timoshenko;Discus 2a;6.198
5;1;I;Łukasz Błaszczyk;Discus 2a;6.195
6;1;YB;Norbert Alin Scarlat;Discus 2a;6.157
7;3;D2;Poul Kim Larsen;Discus 2a;6.133
8;2;IKI;Richard Swanstrom;Discus 2t;6.098
9;;MK;Jim Lee;Discus 2b;6.092
10;1;CM;Dennis Huybreckx;Ls-8;6.079
11;3;LT;Jeroen Jennen;LS-8;6.054
12;;W8;Gonzalo Riera;LS-8;6.034
13;5;F1;David Bromley;LS-8;6.031
14;1;TA;Jan-Ola Nordh;Discus 2;6.019
15;2;SB;Björn Gintzel;LS-8 neo;5.995
16;;AU;Cristian Franzini;LS-8;5.949
17;;M1;Kilian Biechele;LS-8 neo;5.897
18;;AXI;Mogens Hoelgaard;Discus 2a;5.868
19;;HAL;Tamás Vámosi;Discus 2ax;5.802
20;5;A1;Matthew Scutter;Discus 2a;5.784
21;1;JB;Miloslav Cink;LS-8b;5.718
22;2;DII;Maros Divok;Discus 2b;5.706
23;1;HUN;Sandor Laurinyecz;Discus 2ax;5.658
24;3;2;Anton Minskiy;Discus 2a;5.649
25;2;1Z;Nico Le Roux;LS-8;5.624
26;;JPA;Aude Grangeray;Discus 2a;5.546
27;;FX;Pavel Loužecký;LS-8b;5.451
28;2;JS;Juha Sorri;Discus 2b;5.304
29;;TS;Tizian Steiger;Discus 2b;5.298
30;2;FL;Vladas Motuza;Discus 2a;5.26
31;1;AJ;Ray Stewart;Discus 2a;5.221
32;1;6;Howard Jones;Discus 2a;5.174
33;1;ET;Louis Bouderlique;Discus 2a;5.129
34;3;ZM;Joris Vainius;Lak 19;5.066
35;1;M7;Sjors van Loon;LS-8;4.997
36;1;ES;Petri Sucksdorff;LS-8;4.953
37;;LV;Guillaume Girard;Discus 2a;4.903
38;;KG;Martin Schwab;Discus 2a;4.835
39;1;VZ;Dawid Pretorius;LS-8;4.727
40;1;GG;Vittorio Pinni;LS-8;4.714
41;;YA;Victor-Alex Pop;Discus 2a;4.687
42;;HR3;Frane Franic;ASW 24;4.56
43;;FD;Guido Dalla Rosa Prati;LS-8;4.52
44;;SI;Dominik Jančik;LS-8;4.253
45;;ST;Pascal Brunner;Discus 2b;4.02
46;;YU;Marvin Huss;Discus 2b;3.246
47;;EX;Pablo Vispe Sola;ASW-24;2.704
