2;1;Y;Łukasz Wójcik;Discus 2a;9.217
3;1;LOT;Paweł Wojciechowski;LS 8;9.2
4;;Y1;Peter Millenaar;Discus 2a;8.621
5;;FL;Felipe Levin;Discus 2a;8.466
6;;Y4;Michael Buchthal;Discus 2a;8.403
7;;GD;Michael Rass;Discus 2a;8.283
8;1;21;Bert Schmelzer;Discus 2a;8.176
9;1;ET;Christophe Cousseau;Discus 2a;8.154
10;2;SI`;Maros Divok;LS 8;8.019
11;;EC;Christian Skov;LS 8;7.955
12;4;PI;Markku Kuusisto;Discus 2b;7.766
13;1;SE;Jan Walther Andersen;LS 8;7.685
14;1;ALB;Tijl Schmelzer;Discus 2a;7.635
15;3;GX;Radek Krejcirik;Discus 2a;7.606
16;1;JS;Juha Sorri;Discus 2b;7.588
17;1;EL;Vladas Motuza;Discus 2a;7.578
18;3;S1;Sarah Kelman;ASW 28;7.503
19;;DI;Viliam Kubovcik;Discus 2b;7.454
20;;AU;Miloslav Cink;LS 8;7.393
21;;6;Howard Jones;Discus 2a;7.072
HC;;A1;Matthew Scutter;Discus 2a;7.038
22;;EJ;Stefan Telkamp;LS 8;6.912
23;;EI;Baptiste Innocent;Discus 2b;6.907
24;;5;Corrado Costa;Discus 2a;6.504
25;;KG;Reinhard Haggenmüller;Discus 2a;6.199
HC;;ECC;Takeshi Maruyama;Discus 2b;5.86
26;;HAL;Gabor Kapuy;Discus 2a;5.835
27;;G;Luca Monti;LAK 19;5.72
28;;12F;René Schönmann;LS 8;5.652
29;1;YB;Florian Dobrila;Discus 2a;5.452
30;1;TC;Iakov Shrage;LS 8;5.267
31;;YA;Robin Bogdan Gae;Discus 2a;4.113
